,date,truth_o_meter,statement,tags,url
35,"March 16, 2022",mostly-true, Make no mistake: The current spike in gas prices is largely the fault of Vladimir Putin. ,"['Gas Prices', 'Foreign Policy', 'Ukraine', 'Russia', 'Joe Biden']",https://www.politifact.com/factchecks/2022/mar/16/joe-biden/joe-biden-blame-putin-high-gasoline-prices/
36,"March 10, 2022",mostly-true," U.S. imports 1% of its oil from Russia while Exxon, Chevron, BP and Shell profits are at their highest level in over 7 years. ","['Energy', 'Facebook Fact-checks', 'Russia', 'Facebook posts']",https://www.politifact.com/factchecks/2022/mar/10/facebook-posts/yes-oil-companies-are-reporting-record-breaking-pr/
37,"March 9, 2022",mostly-true," The oil industry has 9,000 permits to drill now. They could be drilling right now, yesterday, last week, last year. ","['National', 'Energy', 'Gas Prices', 'Foreign Policy', 'Russia', 'Joe Biden']",https://www.politifact.com/factchecks/2022/mar/09/joe-biden/fact-checking-bidens-claim-there-are-9000-unused-o/
63,"April 20, 2022",half-true, Joe Biden s spending has sent prices skyrocketing. ,"['Ohio', 'Corrections and Updates', 'Economy', 'Food', 'Gas Prices', 'Stimulus', 'Coronavirus', 'Ukraine', 'Jane Timken']",https://www.politifact.com/factchecks/2022/apr/20/jane-timken/bidens-american-rescue-plan-fueled-inflation-so-di/
74,"March 28, 2022",half-true, The United Nations sent out an email instructing staff not to use the words invasion or war’ when referring to Ukraine. ,"['National', 'Facebook Fact-checks', 'Ukraine', 'Facebook posts']",https://www.politifact.com/factchecks/2022/mar/28/facebook-posts/claim-un-told-staff-not-use-war-invasion-describe-/
78,"March 16, 2022",half-true, Wladimir Klitschko has auctioned off his 1996 Atlanta Olympic Games gold medal to raise money for the children of Ukraine. ,"['Foreign Policy', 'Sports', 'Facebook Fact-checks', 'Ukraine', 'Russia', 'Facebook posts']",https://www.politifact.com/factchecks/2022/mar/16/facebook-posts/ukrainian-boxing-star-auctioned-olympic-gold-medal/
83,"March 4, 2022",half-true, Joe Biden s sanctions on Russia are riddled with loopholes and don t even start for 30 days. They have carve outs for the energy and financial sectors. ,"['Ohio', 'Energy', 'Foreign Policy', 'Trade', 'Ad Watch', 'Ukraine', 'Russia', 'Mike Gibbons']",https://www.politifact.com/factchecks/2022/mar/04/mike-gibbons/fact-checking-whether-bidens-russia-sanctions-over/
86,"February 28, 2022",half-true," The Keystone XL pipeline would have produced 830,000 barrels of oil per day, more than enough to offset what we import from Russia. ","['Energy', 'Trade', 'Ad Watch', 'Russia', 'Jake LaTurner']",https://www.politifact.com/factchecks/2022/feb/28/jake-laturner/keystone-wouldnt-simply-offset-oil-us-imports-russ/
87,"February 25, 2022",half-true," Photos show Ukrainian Christians pray outdoors, in the snow, for their country in this phase of war danger. ","['Religion', 'Facebook Fact-checks', 'Ukraine', 'Russia', 'Facebook posts']",https://www.politifact.com/factchecks/2022/feb/25/facebook-posts/photos-ukrainians-praying-phase-war-danger-are-act/
98,"March 29, 2022",barely-true," The Space Foundation has erased the honors previously bestowed on Yuri Gagarin, the first man to ever be in space. His name was stripped ‘in light of current events.’ ","['National', 'Space', 'Facebook Fact-checks', 'Ukraine', 'Facebook posts']",https://www.politifact.com/factchecks/2022/mar/29/facebook-posts/space-foundation-didnt-revoke-honors-russian-cosmo/
